978-0073376356_Basics of Engineering Economy 2nd Edition_Blank; Leland_Spring 2015_ECON 2107_3_Zeynep Arzu Kelani_2316_Required_60_35_58_999998_160_120_82_131.8_This text covers the basic techniques and applications of engineering economy for all disciplines in the engineering profession.
The writing style emphasizes brief, crisp coverage of the principle or technique discussed in order to reduce the time taken to present and grasp the essentials.
The objective of the text is to explain and demonstrate the principles and techniques of engineering economic analysis as applied in different fields of engineering. This brief text includes coverage of multiple attribute evaluation for instructors who want to include non-economic dimensions in alternative evaluation and the discussion of risk considerations in the appendix, compared to Blank's comprehensive text, where these topics are discussed in two unique chapters."


|978-0073511450_Essentials of Economics 3rd Edition_Bruce; Stanley L. _Spring 2015_ECON 2107_3_Zeynep Arzu Kelani_2316_Required_80_62_68_999999_213.15_159.85_109_175.4_Building on the tremendous success of their best-selling Economics, Brue, McConnell, and Flynn have revised their one-semester approach in Essentials of Economics, 3e to provide a fresh alternative for the survey course. The result is a patient, substantive treatment of micro and macro topics appropriate for the introductory economics student, and fully integrated in the digital environment to provide instant remediation and feedback through McGraw-Hill's innovative assessment tool Connect Plus Economics. McGraw-Hill's adaptive learning component, LearnSmart, provides assignable modules that help students master core concepts in the course.
Connect is the only integrated learning system that empowers students by continuously adapting to deliver precisely what they need, when they need it, and how they need it, so that your class time is more engaging and effective.


|978-0123850638_Biotechnology: Academic Cell Update Edition_David P. Clark Nanette J. Pazdernik_Spring 2015_ENGR 4600_1_Jennifer R. Louten_2933_Required_25_24_0_0_69.45_43_0_27.21_Approaches modern biotechnolgy from a molecular basis, in the most current and relevant journal articles


|978-0132492676_A Gift of Fire: Social, Legal, and Ethical Issues for Computing Technology 4th Edition_Baase; Sara_Spring 2015_CSE 3642_2_Manijeh Chavoshi_3068_Required_46_20_25_999999_93.57_85.89_28.19_66.99_A Gift of Fire: Social, Legal, and Ethical Issues for Computing Technology, 4e  is ideal for courses in Computer Ethics and Computers and Society. It is also a useful reference for computer science professionals or anyone interested in learning more about computing technology and its overarching impact. Sara Baase explores the social, legal, philosophical, ethical, political, constitutional, and economic implications of computing and the controversies they raise. With a computer scientist's perspective, and with historical context for many issues, she covers the issues students will face both as members of a technological society and as professionals in computer-related fields. A primary goal is to develop computer professionals who understand the implications of what they create and how it fits into society at large.


|978-0132662253_Modern Database Management_Jeffery A. Hoffer_Spring 2015_CS 3153_3_Kai Qian_3521_Required_50_50_49_999999_189.79_159.95_59.49_143.99_Focusing on what leading database practitioners say are the most important aspects to database development, Modern Database Management presents sound pedagogy and includes topics that are critical for the practical success of database professionals.


|978-0132856201_Computer Networking_KUROSE_Spring 2015_CS 4263_1_Jung E_3088_Required_1_1_34_999999_152.8_114.6_114.6_114.6_No description available

|978-0132911276_ENGR.MECH.:DYNAMICS_HIBBELER_Spring 2015_ENGR 3122_1_Lowder M_2549_Required_1_1_75_999999_206.8_155.1_155.1_155.1_No description available.

|978-0133773927_Computer Security: Principles and Practice_William Stallings Lawrie Brown_Summer 2015_IT 4823_1_Bob Brown_5211_Required_50_50_50_0_133.62_76.19_43.55_0_Computer Security: Principles and Practice, Third Edition, is ideal for courses in Computer/Network Security. It also provides a solid, up-to-date reference or self-study tutorial for system engineers, programmers, system managers, network managers, product marketing personnel, system support specialists.


|978-0133813463_Intro to Java Programming Comp Version
Plus MyProgrammmingLab with Pearson eText- Access Card Package_Y.Daniel Liang_Spring 2015_CS 2301_2_INMAN_13410_Required_7_7_7_999999_192.5_125_17.99_57.2_No description available.


|978-0136088394_Modern Database Management_Jefferey A. Hoffer Ramesh Venkataraman, & Heikki Topi_Spring 2015_CSE 3153_2_Kai Qian_3520_Recommended_9_30_0_0_94.78_25.98_0_0_Provides the latest information in database development.

|978-0205734610_The Enjoyment of theatre_Jim A. Patterson, Patti P. Gillespie, Jim hunter, Kenneth Cameron_Spring 2015_ARTS 2002_1_Charlotte Stephenson_2415_Required_12_42_0_0_40_4.5_0_0_Brings theatre to life for readers by showing the relationship and relevance of the performing arts to everyday lives



|978-0300161632_Encounters: Chinese Language and  
Culture, Student Book 2_Cynthia Y. Ning_Spring 2015_CHNS 2001_1_MENG_10127_Required_9_9_9_999999_221.25_165.95_87_116.4_No description available.

|978-0312597139_The Bedford Anthology of American Literature, Shorter Edition: Beginnings to the Present_Susan Belasco, Linck Johnson_Spring 2015_ENGL 2130_1_Phillip M. Harrold (P)_3398_Required_48_50_50_0_77.62_32.62_17.98_0_Here at last is an anthology that is not simply a collection of texts, but a carefully crafted tool for teaching and learning. This concise, single-volume, edition includes all the features of the longer volumes, but with a manageable amount of literature that can be covered in a single semester comprehensive survey course. With engaging author and selection introductions and generous gloss notes, The Bedford Anthology of American Literature, Shorter Edition, helps students read, appreciate, and understand American literature. The unsurpassed illustration program helps students grasp the cultural, material, and social conditions in which literary works are produced. Several innovative features supply additional contexts for the literature, while others help students reflect on why American literature is relevant and worth reading today.


